AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037208720,1958,0.899898,0.003575,0.144535,10237.544554,7965.078400,3117,0.582932,0.037536,0.493102,627,1761,15390.787879,14321.015142,243,4175,0.386347,0.074012,0.542515,742,2171,23397.737033,24522.839906,542,3580,0.287430,0.034078,0.867877,675,1206,21128.891656,21283.179916,400,4179,0.396985,0.048098,0.815985,0.535,25573.073,29758.839,765
06037208801,1673,0.918111,0.008966,0.249253,7589.970260,5326.837017,2572,0.717729,0.045101,0.563375,515,1006,11316.713675,8863.473434,171,3549,0.292477,0.072415,0.625810,580,1548,20542.024465,17689.806810,442,3607,0.378985,0.103410,0.639312,554,1249,26408.791304,23439.150442,445,2995,0.277796,0.069115,0.598664,0.401,29729.666,27734.964,745
06037208802,1319,0.918120,0.009856,0.249431,7551.633803,5317.975496,2028,0.717456,0.045858,0.563116,406,794,11307.528455,8849.603015,171,2797,0.292456,0.072578,0.625670,458,1220,20511.577519,17678.955869,442,2843,0.378825,0.103412,0.639465,438,984,26340.796330,23401.600000,445,2906,0.375086,0.068479,0.597729,0.350,31599.452,37010.164,795
06037208902,1185,0.879325,0.015190,0.297046,7642.828125,5095.205128,1876,0.575160,0.052239,0.670576,368,722,10732.838527,8822.177632,166,2376,0.368687,0.000000,0.897727,738,1174,15261.063425,16315.525661,432,2405,0.357173,0.010811,0.901040,583,827,20015.452539,21586.195827,391,2339,0.353997,0.013254,0.912783,0.775,24962.907,38042.989,775
06037208903,1822,0.879254,0.014819,0.297475,7648.576271,5096.868306,2885,0.575043,0.051993,0.670711,566,1110,10728.443831,8819.054748,166,3792,0.290612,0.036392,0.831224,734,1474,15605.878261,15932.568097,413,4125,0.434182,0.073455,0.821818,828,1310,20689.703808,21984.046346,453,4019,0.331177,0.083105,0.827569,0.609,33523.570,30634.228,817
06037208904,1848,0.879329,0.014610,0.297619,7654.839465,5098.588745,2927,0.574991,0.052272,0.670653,574,1126,10724.814882,8817.728499,166,3846,0.290692,0.036401,0.831253,745,1496,15604.184286,15924.049632,413,3709,0.300620,0.046104,0.878673,986,1274,19581.016043,18808.368201,408,3926,0.377483,0.028273,0.862710,0.590,31037.153,27796.426,702
06037209401,1610,0.901242,0.006832,0.220497,6797.742489,4320.605825,2692,0.419019,0.024146,0.724740,618,1198,10190.749042,9152.158745,171,3299,0.350712,0.023340,0.850258,719,1371,17088.186228,18118.535637,418,3967,0.391480,0.028989,0.824300,779,1328,22458.526603,21611.129568,401,3914,0.368932,0.055697,0.731221,0.517,29751.564,28910.722,743
06037209402,1815,0.901377,0.007163,0.220386,6813.194656,4319.975022,3034,0.418919,0.024061,0.724786,697,1350,10196.023810,9149.263069,171,3795,0.264032,0.030567,0.842161,1093,1774,15875.254545,15883.403997,409,3398,0.304297,0.046498,0.849323,968,1330,22911.461318,21449.782419,393,3728,0.339056,0.039431,0.861320,0.662,28288.107,28899.498,755
06037209403,1403,0.900927,0.007128,0.220242,6794.911330,4320.645485,2344,0.418942,0.023891,0.724829,539,1043,10181.795604,9153.834061,171,2796,0.376252,0.038269,0.896638,684,1274,21040.562393,22173.576923,433,3480,0.367241,0.036782,0.701724,855,1262,22925.069252,22379.403794,375,3600,0.337222,0.058333,0.705833,0.586,20772.976,24648.613,694
06037209510,1955,0.829668,0.026598,0.337084,7856.535411,5634.964318,2733,0.452250,0.033663,0.679839,408,1228,14538.422460,11429.855072,184,3525,0.177021,0.022128,0.828936,747,1633,19383.419881,19741.447023,453,2770,0.396751,0.045487,0.803610,412,900,37680.045283,31401.954545,509,2692,0.334695,0.047920,0.706909,0.479,34470.062,34029.979,786
06037209520,1594,0.830615,0.026349,0.339398,7779.439024,5558.347875,2217,0.455571,0.032927,0.687415,332,997,14579.152318,11384.267559,181,2859,0.175586,0.021336,0.834907,608,1323,19144.346789,19586.843088,449,2801,0.334523,0.055337,0.775437,391,1110,51807.260726,39813.627049,436,2791,0.320315,0.030813,0.838409,0.444,35651.672,36563.736,780
