AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037211802,1622,0.929100,0.005549,0.107275,12025.476868,8255.636266,3000,0.422667,0.238667,0.097000,318,1666,18631.601463,14787.135775,300,4075,0.279509,0.148957,0.278282,556,2261,24012.092045,24065.554798,531,4529,0.320601,0.114374,0.413115,475,1706,36756.496063,31960.780390,558,4192,0.259781,0.081823,0.356393,0.225,39887.350,36307.699,882
06037211803,1060,0.929245,0.005660,0.106604,12072.360656,8260.068966,1961,0.422743,0.238144,0.096889,207,1089,18663.960784,14793.093966,300,2664,0.149399,0.155030,0.183934,239,1476,30594.816923,27338.389787,629,3098,0.163008,0.085216,0.237895,167,1187,35632.107856,30783.186779,658,3529,0.100595,0.077076,0.166903,0.111,58067.079,46178.642,1086
06037211910,2170,0.890323,0.008295,0.166820,11713.144737,8230.293591,2935,0.527428,0.094719,0.244634,512,1619,15234.350087,12848.066667,252,4323,0.377978,0.107796,0.458247,701,2166,22197.945235,22836.887892,567,4954,0.386758,0.091845,0.639281,661,1942,36721.203953,33026.739726,559,4657,0.363753,0.071076,0.613915,0.300,35618.407,38078.699,964
06037211922,1319,0.890068,0.008340,0.166793,11667.201439,8231.517594,1783,0.527762,0.094784,0.245093,312,984,15207.777778,12835.693088,252,2626,0.378142,0.107768,0.458111,427,1316,22175.000000,22823.148524,567,3194,0.333438,0.083907,0.518472,380,1174,23863.472496,24033.286062,596,3389,0.295662,0.064621,0.532015,0.237,42960.000,47811.078,1068
06037212101,1100,0.950909,0.000909,0.143636,11263.792035,8028.505718,1611,0.661080,0.071384,0.140286,282,775,15033.214559,12221.039858,222,2000,0.416000,0.131500,0.345500,348,975,24759.812646,21267.595865,493,3046,0.306960,0.075837,0.336835,255,1288,34931.082707,27793.344804,590,2507,0.216992,0.078979,0.295174,0.312,62156.077,51624.604,900
06037212102,822,0.951338,0.002433,0.144769,11175.782353,8006.224109,1204,0.661130,0.071429,0.140365,211,580,15017.287179,12200.937204,222,1493,0.415941,0.131949,0.346283,261,729,24735.351097,21243.516981,493,2275,0.306813,0.076484,0.336703,191,962,34882.756539,27753.011050,590,2446,0.272281,0.093213,0.291496,0.314,58451.408,38850.558,871
06037212303,1285,0.794553,0.022568,0.232685,10192.150000,6663.809524,2045,0.319804,0.037164,0.520782,348,918,12474.594533,11391.940389,201,2678,0.306199,0.083271,0.846154,700,1412,20280.868914,20004.404077,465,3040,0.422697,0.033882,0.770066,365,975,25365.432099,23907.317073,456,3326,0.355081,0.066446,0.694528,0.593,37072.118,34458.805,802
06037212304,1391,0.794393,0.023005,0.232926,10204.914591,6664.500000,2213,0.319476,0.037054,0.520560,376,994,12475.957895,11385.603371,201,2898,0.306418,0.083161,0.846101,758,1528,20311.610052,20016.006652,465,2227,0.310283,0.088011,0.773238,500,970,25023.798077,34399.319728,458,1804,0.435698,0.064302,0.679047,0.639,30944.350,39424.364,826
06037212305,1436,0.794568,0.022981,0.232591,10209.248276,6661.013018,2285,0.319475,0.037199,0.520788,389,1026,12486.695918,11384.309032,201,2992,0.258690,0.032754,0.660428,545,1312,23533.728707,24351.608092,477,3259,0.331390,0.015035,0.824793,468,1325,29980.926431,27688.369781,465,2865,0.354974,0.051309,0.744852,0.529,40489.240,37377.480,900
06037212410,1467,0.888207,0.010225,0.160191,12244.210191,10049.573059,2465,0.446653,0.057606,0.383773,319,1226,16956.324528,16305.140318,256,3504,0.230308,0.064783,0.489441,440,1486,23117.336913,22330.222696,579,4264,0.214353,0.055347,0.504925,711,1690,32382.656095,31247.863248,691,3903,0.254932,0.045094,0.478350,0.366,37347.917,42423.314,1125
06037212420,1542,0.888457,0.009728,0.160830,12248.993939,10060.460870,2592,0.446373,0.057870,0.383873,335,1289,16932.747312,16318.361532,256,3684,0.230456,0.064604,0.489685,462,1563,23095.747449,22333.870130,579,3892,0.211973,0.007965,0.632580,375,1200,30678.354978,27951.005025,595,3228,0.281289,0.045849,0.554833,0.423,32571.038,32270.282,908
06037212501,479,0.897704,0.006263,0.148225,11515.730769,8311.856164,839,0.368296,0.129917,0.334923,113,438,15829.044944,13544.402913,231,1198,0.210351,0.064274,0.596828,200,582,22532.632576,22990.274005,522,1336,0.294162,0.050150,0.622754,164,496,27736.431034,27232.296296,583,2165,0.363510,0.078522,0.540416,0.071,32670.153,45560.115,993
06037212502,1717,0.898660,0.008736,0.149680,11378.021220,8310.600382,3006,0.368596,0.131071,0.334997,409,1569,15718.925234,13513.631508,231,4295,0.211176,0.065192,0.596740,720,2089,22427.215789,22950.721932,522,4789,0.294007,0.050532,0.622259,590,1781,27648.018234,27215.365350,583,2767,0.247199,0.067221,0.352729,0.206,51218.132,59445.852,1078
