AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037211120,1905,0.896063,0.023097,0.247769,10332.607235,8965.025862,2365,0.506977,0.049894,0.379281,245,1139,16094.061224,14861.999153,274,3381,0.312334,0.076309,0.388642,339,1594,28252.912209,27964.350659,629,5116,0.164777,0.046130,0.317435,296,2077,40379.631115,35114.601345,675,5194,0.178283,0.052176,0.275895,0.236,54306.356,48971.317,1146
06037211921,1314,0.890411,0.007610,0.166667,11722.913043,8239.381549,1777,0.527293,0.094541,0.244795,310,980,15257.406877,12851.585569,252,2618,0.377769,0.107716,0.457983,424,1312,22240.824275,22851.485185,567,3186,0.333019,0.083490,0.518205,378,1170,23872.274399,24052.296748,596,2474,0.252223,0.052142,0.442199,0.321,35026.908,37670.167,952
06037211922,1319,0.890068,0.008340,0.166793,11667.201439,8231.517594,1783,0.527762,0.094784,0.245093,312,984,15207.777778,12835.693088,252,2626,0.378142,0.107768,0.458111,427,1316,22175.000000,22823.148524,567,3194,0.333438,0.083907,0.518472,380,1174,23863.472496,24033.286062,596,3389,0.295662,0.064621,0.532015,0.237,42960.000,47811.078,1068
06037212101,1100,0.950909,0.000909,0.143636,11263.792035,8028.505718,1611,0.661080,0.071384,0.140286,282,775,15033.214559,12221.039858,222,2000,0.416000,0.131500,0.345500,348,975,24759.812646,21267.595865,493,3046,0.306960,0.075837,0.336835,255,1288,34931.082707,27793.344804,590,2507,0.216992,0.078979,0.295174,0.312,62156.077,51624.604,900
06037212102,822,0.951338,0.002433,0.144769,11175.782353,8006.224109,1204,0.661130,0.071429,0.140365,211,580,15017.287179,12200.937204,222,1493,0.415941,0.131949,0.346283,261,729,24735.351097,21243.516981,493,2275,0.306813,0.076484,0.336703,191,962,34882.756539,27753.011050,590,2446,0.272281,0.093213,0.291496,0.314,58451.408,38850.558,871
06037212202,1673,0.796772,0.008368,0.261805,7330.889655,5158.597478,2995,0.504841,0.042404,0.673122,529,1271,12830.812914,10737.004955,179,4137,0.290790,0.019579,0.837563,640,1637,20286.512426,18966.234117,477,4111,0.363902,0.023838,0.845293,516,1424,23277.136259,24792.820513,463,3612,0.370709,0.028239,0.794297,0.196,37474.839,39190.039,817
06037212203,1254,0.796651,0.008772,0.261563,7342.308756,5156.421734,2245,0.504677,0.042316,0.673051,396,953,12821.256071,10731.961454,179,3090,0.291586,0.028803,0.799029,700,1404,17009.532884,16958.473361,425,2838,0.398872,0.050388,0.812544,626,994,19527.058824,20353.751187,393,2679,0.426652,0.043300,0.775663,0.612,35727.482,30142.653,641
06037212204,1524,0.797244,0.008530,0.261811,7336.022727,5154.331915,2729,0.504580,0.042506,0.673140,482,1158,12836.254545,10738.947416,179,3756,0.291800,0.029020,0.799255,850,1707,17004.984743,16949.240944,425,3435,0.432023,0.035226,0.852984,622,1002,41356.343793,32841.379310,432,3344,0.376495,0.052033,0.753289,0.313,36573.577,37328.447,751
06037212303,1285,0.794553,0.022568,0.232685,10192.150000,6663.809524,2045,0.319804,0.037164,0.520782,348,918,12474.594533,11391.940389,201,2678,0.306199,0.083271,0.846154,700,1412,20280.868914,20004.404077,465,3040,0.422697,0.033882,0.770066,365,975,25365.432099,23907.317073,456,3326,0.355081,0.066446,0.694528,0.593,37072.118,34458.805,802
06037212304,1391,0.794393,0.023005,0.232926,10204.914591,6664.500000,2213,0.319476,0.037054,0.520560,376,994,12475.957895,11385.603371,201,2898,0.306418,0.083161,0.846101,758,1528,20311.610052,20016.006652,465,2227,0.310283,0.088011,0.773238,500,970,25023.798077,34399.319728,458,1804,0.435698,0.064302,0.679047,0.639,30944.350,39424.364,826
06037212306,1511,0.794838,0.023163,0.232958,10216.157377,6663.321710,2405,0.319751,0.037006,0.520582,409,1080,12479.279070,11386.527404,201,3149,0.258495,0.033026,0.660527,573,1380,23542.908546,24335.001098,477,3666,0.261866,0.014184,0.588107,250,1275,37557.825568,37054.708904,590,3052,0.252949,0.020970,0.485256,0.327,38133.517,38074.262,1050
